Open,Close,High,Low,Volume,Date
13.00068,12.77424,13.01053,12.71517,15.00,05/26/20
13.02037,12.90715,13.08437,12.90715,2,199.00,05/25/20
12.53303,12.99576,12.99576,12.50842,,05/22/20
12.21799,12.66595,12.66595,12.21799,183.00,05/21/20
12.18353,12.03092,12.18353,11.96693,183.00,05/20/20
12.58718,12.29675,12.72502,12.29675,731.00,05/19/20
12.72994,12.48873,12.72994,12.48873,,05/18/20
12.66102,12.73486,12.82347,12.66102,,05/15/20
12.5478,12.53303,12.58718,12.46904,406.00,05/14/20
12.86285,12.66595,12.92684,12.66595,1,031.00,05/13/20
12.97115,12.96623,12.99084,12.96623,,05/12/20
13.1336,13.10406,13.16805,13.04991,,05/11/20
13.12867,13.07452,13.12867,13.02037,,05/08/20
12.72994,13.07452,13.14344,12.72994,,05/07/20
13.09421,12.80378,13.09421,12.77917,1,320.00,05/06/20
13.06468,13.12375,13.12375,13.06468,,05/05/20
13.13852,13.04499,13.22713,13.04499,127.00,05/04/20
13.90153,13.41419,13.90153,13.40434,203.00,04/30/20
13.30097,13.72923,13.85722,13.30097,,04/29/20
13.11883,13.19759,13.20251,13.04499,,04/28/20
13.32066,12.89731,13.32066,12.89731,1,016.00,04/27/20
13.09914,13.11883,13.21236,13.05483,2,031.00,04/24/20
13.61601,13.32558,13.61601,13.32558,508.00,04/23/20
13.49787,13.53233,13.53233,13.21728,,04/22/20
13.62586,13.68493,13.70462,13.57171,,04/21/20
13.78338,13.84246,13.84246,13.6997,195.00,04/20/20
13.83261,13.71939,13.83261,13.68493,2,092.00,04/17/20
13.9606,13.76369,13.9606,13.71447,1,046.00,04/16/20
14.33472,14.0049,14.33472,13.84738,152.00,04/15/20
14.30026,14.34949,14.38887,14.23627,,04/14/20
14.66454,14.21165,14.66454,14.12797,152.00,04/09/20
14.19196,14.36425,14.36425,14.19196,330.00,04/08/20
15.27002,14.36918,15.27002,14.36918,234.00,04/07/20
15.33401,14.8516,15.33401,14.8516,,04/06/20
13.94583,14.71868,14.71868,13.94583,,04/03/20
13.91137,13.82769,14.03444,13.70954,,04/02/20
13.50279,14.08859,14.08859,13.50279,,04/01/20
13.80307,14.07874,14.25103,13.80307,,03/31/20
13.99013,14.04428,14.04428,13.6997,,03/30/20
14.39871,14.1575,14.39871,14.05905,9.00,03/27/20
13.34527,14.27565,14.27565,13.34527,2,133.00,03/26/20
14.14274,13.73908,14.14274,13.62094,4,368.00,03/25/20
13.61109,13.47326,13.70462,13.47326,,03/24/20
13.29604,13.6554,13.80307,13.17298,,03/23/20
14.56608,14.22642,14.56608,14.04428,,03/20/20
14.03936,14.29042,14.29042,13.808,1,016.00,03/19/20
13.67016,13.92122,14.81221,13.67016,295.00,03/18/20
12.64133,13.75385,13.75385,12.64133,3.00,03/17/20
12.59211,12.40012,12.59211,12.36566,142.00,03/16/20
12.40505,13.26651,13.26651,12.40505,1,270.00,03/13/20
13.09914,12.53303,13.22713,12.53303,472.00,03/12/20
13.88184,13.90153,14.15258,13.88184,559.00,03/11/20
14.5267,13.87691,14.53655,13.87691,,03/10/20
14.66946,14.57101,14.78268,14.54147,1,209.00,03/09/20
15.97396,15.19126,15.97396,15.19126,762.00,03/06/20
16.65328,16.26932,16.65328,16.26932,,03/05/20
16.23486,16.50068,16.60898,16.02318,1,278.00,03/04/20
16.2447,16.11671,16.2447,16.11671,1,625.00,03/03/20
15.57522,15.5703,15.57522,15.43739,4,672.00,03/02/20
15.13711,15.58507,15.58507,15.13711,203.00,02/28/20
15.55553,15.79182,16.2447,15.55553,,02/27/20
15.36355,15.73275,15.73275,15.36355,508.00,02/26/20
15.75736,15.60968,15.75736,15.60968,,02/25/20
15.47677,15.47677,15.50138,15.45708,203.00,02/24/20
15.86566,15.9838,15.9838,15.75244,589.00,02/21/20
15.80166,15.89027,15.91489,15.75244,,02/20/20
16.10687,15.87058,16.10687,15.79674,,02/19/20
15.51615,16.10195,16.10195,15.51615,2,673.00,02/18/20
15.61953,15.55553,15.66875,15.53092,,02/17/20
15.47677,15.60968,15.60968,15.47677,,02/14/20
15.43247,15.39801,15.43247,15.31432,152.00,02/13/20
15.2651,15.45216,15.55553,15.2651,,02/12/20
15.23064,15.19618,15.23064,15.07804,,02/11/20
15.22079,15.2011,15.22079,15.19618,,02/10/20
15.45708,15.23064,15.45708,15.23064,,02/07/20
15.44231,15.50138,15.50138,15.3734,102.00,02/06/20
15.17649,15.27002,15.32417,15.17649,4,571.00,02/05/20
15.02881,15.23556,15.25033,15.02881,,02/04/20
14.93036,15.02389,15.08296,14.93036,,02/03/20
15.29463,15.13711,15.29463,15.13711,,01/31/20
15.18634,15.27002,15.3094,15.15188,122.00,01/30/20
15.44231,15.27002,15.44231,15.23556,,01/29/20
15.02389,15.2651,15.3094,14.92544,,01/28/20
14.98451,14.95989,15.13219,14.8516,,01/27/20
14.53162,15.26017,15.26017,14.53162,20.00,01/24/20
14.17719,14.3298,14.48732,14.17719,152.00,01/23/20
14.51686,14.35441,14.60054,14.35441,,01/22/20
14.5267,14.57101,14.57101,14.42333,574.00,01/21/20
14.50209,14.51193,14.56116,14.40856,,01/20/20
14.49717,14.58577,14.64977,14.27072,1,544.00,01/17/20
14.85652,14.58085,14.85652,14.58085,609.00,01/16/20
14.86636,14.68423,14.87129,14.635,,01/15/20
14.80729,14.76791,14.8516,14.7433,,01/14/20
14.76299,14.65961,14.80237,14.65961,,01/13/20
14.97466,14.7433,14.97466,14.7433,,01/10/20
15.00912,14.95497,15.08788,14.95497,,01/09/20
14.81221,14.95497,15.01897,14.81221,2,031.00,01/08/20
14.84175,15.01404,15.12234,14.84175,,01/07/20
14.72361,14.72361,14.72361,14.72361,,01/06/20
14.70884,14.66946,14.70884,14.64977,,01/03/20
14.64977,14.79745,14.81714,14.64977,,01/02/20
14.97466,14.91067,14.99435,14.90574,1,925.00,12/30/19
14.79745,14.98451,15.01897,14.79745,,12/27/19
14.87621,14.91559,14.91559,14.84667,,12/23/19
14.80729,14.83683,14.83683,14.77283,,12/20/19
14.6793,14.81714,14.81714,14.6793,,12/19/19
14.69407,14.80729,14.80729,14.69407,330.00,12/18/19
14.91559,14.75314,14.91559,14.69899,,12/17/19
14.66454,14.81221,14.81221,14.66454,,12/16/19
14.61039,14.77776,14.8959,14.61039,3,149.00,12/13/19
14.75314,14.58085,14.75314,14.49717,334.00,12/12/19
14.7433,14.73838,14.81714,14.64485,508.00,12/11/19
14.74822,14.71868,14.74822,14.57101,508.00,12/10/19
14.81714,14.82206,14.87621,14.80729,595.00,12/09/19
14.42825,14.70392,14.70392,14.42825,,12/06/19
14.42825,14.37902,14.53655,14.36918,20.00,12/05/19
14.5907,14.42333,14.64485,14.42333,,12/04/19
14.48732,14.48732,14.65469,14.48732,,12/03/19
14.75807,14.71868,14.77776,14.71868,,12/02/19
